cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,omega,dipole_moment_debye,molecular_volume_A3,h_nbo_charge,o_nbo_charge,polar,sasa,3and6,4and5,logp,hbd,hba,mu,sigma,ei
302927-96-4,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C=3C=CC=CC3)C=C1C(=O)O,28.0,42.0,-7.796606044526,-0.592663966389,7.2039420781370005,2.44240759269953,8.283273145924865,321.6400000000001,0.53306,-0.6609,394.47528933333336,188.3728896588587,0,1,4.127600000000002,3.0,4.0,8.260037083958139,2.1875217027149763,1.0209585614086612e-06
669704-09-0,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C3=CC=C(C=C3)C)C=C1C(=O)O,29.0,45.0,-7.823273201875,-0.5442277010000001,7.279045500875,2.4046789977888428,9.274236465068162,338.24000000000007,0.53308,-0.66098,414.3369,190.5243012508521,0,1,4.436020000000003,3.0,4.0,7.312678649647182,2.3390959059008463,6.342267826361367e-07
1510005-73-8,O=C(O)C=1C=CN=C(C1)C2=NC(=CC(=C2)C3=CC=C(C(=O)O)C(=C3)C(=O)O)C4=NC=CC(=C4)C(=O)O,46.0,44.0,-8.126680145182501,-1.1616540277845,6.965026117398001,3.096655714369976,3.9921569833863,395.9840000000001,0.5325,-0.66385,498.8483446666666,190.3683792454752,0,1,3.665400000000001,4.0,7.0,13.488841331792656,1.8906273656848054,0.0034067911005271935
53464-95-2,O=C(O)C=1C=CC=C(OC2=CC=C(C=C2)C(C3=CC=C(OC4=CC=CC(C(=O)O)=C4C(=O)O)C=C3)(C)C)C1C(=O)O,41.0,64.0,-7.612657081588001,-0.7621908952505,6.850466186337501,2.559609693973769,8.009556679991721,474.9600000000001,0.53651,-0.65655,561.085335,182.3848123414205,1,0,6.389900000000004,4.0,6.0,6.850026086826773,2.1780987367324496,2.9979162785289366e-08
723735-73-7,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C3=CC=C(C(=C3)C)C)C=C1C(=O)O,30.0,48.0,-7.7223189633395,-0.5308941223255,7.191424841014,2.367942644999806,7.182180021414112,354.75200000000007,0.53344,-0.66086,432.8733546666666,189.9382198410158,0,1,4.744440000000004,3.0,4.0,8.907300559468638,2.073067308130956,1.297199877027108e-06
294890-67-8,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C=3C=CC(=CC3)C=4C=CC=CC4)C=C1C(=O)O,34.0,52.0,-7.712794978572001,-0.6416444594790001,7.071150519093001,2.4676556571523305,9.184069177657582,392.3760000000001,0.53332,-0.66034,507.1276423333333,190.3452075715656,0,1,5.794600000000004,3.0,4.0,7.721937902294059,2.3090014407462958,1.1210074166260376e-06
328265-20-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)NC(=O)C(C=3C=CC=CC3)C=4C=CC=CC4,36.0,40.0,-7.958241671723,-1.3113166455595,6.6469250261635,3.2317466745632744,10.323534233003734,420.8720000000001,0.53366,-0.65861,531.0394213333333,190.92327815976984,0,1,5.084600000000004,3.0,4.0,9.059775866783312,2.502240993890103,6.909024330044073e-05
596790-80-6,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C=3SC=CC3)C=C1C(=O)O,27.0,39.0,-7.875519061171,-0.676475032343,7.199044028828,2.539802600269863,8.612013405702525,312.82400000000007,0.53349,-0.66086,385.328579,189.83953107459703,0,1,4.1891000000000025,3.0,5.0,8.292936315337187,2.220414355328306,1.5578335577312743e-06
90829-94-0,O=C(O)C=1C=C2C(=O)OC3(C4=CC=C(O)C=C4OC5=CC(O)=CC=C53)C2=CC1C(=O)O,31.0,42.0,-7.802048321536,-1.1665520770935,6.6354962444425,3.0305115905108635,7.678215561574187,331.2320000000001,0.53539,-0.65012,408.502414,188.9382845186644,0,2,3.0622000000000016,4.0,7.0,10.685485962683941,2.099646356924459,7.660809419823117e-05
23241-56-7,O=C(O)C1=C(O)C=C2C(=O)C3=C(O)C(O)=C(C(O)=C3C(=O)C2=C1C(=O)O)C4=CC(=CC=C4O)CC(N)C(=O)O,39.0,45.0,-7.654562614565,-1.9975877765205,5.6569748380445,4.117218559360646,15.229122812558836,423.3520000000001,0.53506,-0.64584,526.605009,170.19669509855646,2,1,1.0078000000000005,9.0,11.0,3.2925054273240164,4.4022442645303865,0.00037485916798600007
1822647-91-5,N#CC1=CC=CC(C(=O)O)=C1C(=O)O,18.0,17.0,-9.212142294827,-0.8438250504005,8.3683172444265,3.0209920434013133,5.289150382622903,156.88000000000002,0.53658,-0.64132,169.514967,177.60821488178172,1,0,0.95468,2.0,3.0,9.24548901312042,1.9660573864765687,8.527291490346564e-07
25809-28-3,O=C(O)C1=CC=CC(=C1C(=O)O)CCC,15.0,19.0,-8.572674746152,-0.613344619027,7.959330127125,2.6504413823052366,3.4986215699901013,188.7680000000001,0.53492,-0.65973,199.20712766666668,166.4467269185733,1,0,2.0355,2.0,2.0,9.809942613660894,1.954633710414498,3.0285912775509946e-06
99865-79-9,O=C(O)C1=CC=C(C(=C1C(=O)O)C)CC,15.0,18.0,-8.437162048603,-0.5444998148505,7.8926622337525,2.555229383959745,4.155327864320697,188.0480000000001,0.53446,-0.66417,202.65479766666667,177.37618014571143,1,1,1.95382,2.0,2.0,9.076404805862552,1.9687771279128816,5.728121037837488e-07
39521-06-7,O=C(O)C=1C(N)=CC=C(C1C(=O)O)C,14.0,19.0,-7.2945559903534996,-0.525723959166,6.768832031187499,2.258764075067748,3.5568633822512776,166.12000000000003,0.53293,-0.66829,186.96806433333336,165.7446314665676,2,0,0.9736200000000002,3.0,3.0,7.184755176598259,2.273282663716876,2.2885565588349964e-07
22481-10-3,O=C(O)C=1C(O)=C(C=C(C1C(=O)O)C)C,15.0,18.0,-7.822184746473,-0.6590597459109999,7.163125000562,2.5104792996754344,3.148252316762429,178.40000000000003,0.53856,-0.66329,193.676718,166.59024539856875,2,1,1.40544,3.0,3.0,7.93914918094822,2.2462017989892433,9.339766810921516e-07
1824374-56-2,O=C(O)C1=CC=CC(C(=O)N)=C1C(=O)O,15.0,21.0,-9.02329528258,-0.7012373927385,8.3220578898415,2.840839880144666,6.121561040290295,170.44000000000003,0.53549,-0.64986,179.24633233333336,169.94222325120245,1,0,0.1819,3.0,3.0,8.112331054580181,2.0186969326798523,8.856553649500035e-08
2733477-28-4,O=C(O)C=1C=CC=C(OO)C1C(=O)O,14.0,19.0,-8.4085900943005,-0.7088565805525,7.699733513748,2.699049055410876,3.96242499487372,156.57600000000005,0.53599,-0.65239,162.646186,181.6508607359438,1,0,0.9348,3.0,4.0,9.792530833595407,1.9443312404257258,2.588477152938549e-06
61260-14-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)S,15.0,19.0,-9.206700017817,-1.28981965137,7.916880366446999,3.479177405300228,4.773580673875744,176.88000000000005,0.53516,-0.65482,198.02205333333333,188.40862928448587,0,1,1.153,3.0,3.0,13.317633403729019,1.9179696342497183,0.0029233223545470158
113665-36-4,O=C(O)C1=CC=C(O)C(C(=O)O)=C1C(=O)O,21.0,20.0,-8.4635570921015,-0.8487230997095,7.614833992392,2.8470273435191187,3.731841085844896,172.49600000000004,0.54134,-0.65324,186.6115726666667,163.2416647317163,2,0,0.4867999999999999,4.0,4.0,8.140424395419899,2.217472462063376,1.0764843021009432e-06
82297-95-8,O=C(O)C1=CC(O)=C(O)C(O)=C1C(=O)O,15.0,20.0,-7.857559547038001,-0.5646362397875,7.292923307250501,2.431582606973957,6.050811291884751,162.28800000000004,0.53806,-0.66144,173.83875633333332,179.3844153968164,1,2,0.1997999999999998,5.0,5.0,7.69196940624073,2.0338947197389725,3.5359741436001826e-08
213612-01-2,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)N,15.0,19.0,-9.061935449351,-1.0021953113915,8.0597401379595,3.141749182839236,6.778235971844001,170.41600000000005,0.53386,-0.65876,181.39013866666667,186.21843276965336,0,1,0.1819,3.0,3.0,10.847671957269284,2.0088290698945825,5.210798586710022e-05
111342-37-1,O=C(O)C=1C(O)=C(O)C=C(C1C(=O)O)C,15.0,19.0,-7.7223189633395,-0.7126661744595001,7.00965278888,2.53753561045704,2.863938319866544,170.13600000000005,0.53938,-0.66354,182.315893,167.5140887833733,2,1,0.8026199999999999,4.0,4.0,8.32804063744544,2.242127621848303,2.0982285309964805e-06
69933-19-3,O=C(O)C1=CC=C(C(=O)O)C(C(=O)O)=C1O,20.0,19.0,-8.424372697629499,-1.1164831286015,7.307889569027999,3.114029332172618,6.174848903414561,172.82400000000004,0.54187,-0.65207,185.53930466666665,179.48992595883493,1,1,0.4867999999999999,4.0,4.0,9.477601496333847,2.0103729343604773,2.5122749568950536e-06
1391038-53-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C,15.0,19.0,-8.451311968829001,-0.6751144630904999,7.776197505738501,2.6777759745612566,2.78646961045693,184.89600000000004,0.53144,-0.66747,197.09004666666667,187.1164135198718,0,1,1.1027,3.0,3.0,12.741154001321576,1.883162449204939,0.0008842981807208172
313229-50-4,O=C(O)C1=CC=CC(=C1C(=O)O)CCCC,16.0,20.0,-8.555531573570502,-0.5839563231730001,7.971575250397501,2.619627752073084,3.14705006950954,205.54400000000004,0.53459,-0.66378,215.80494266666665,168.36943283489632,1,0,2.4256,2.0,2.0,9.969175838230115,1.961738096110204,4.789757300980861e-06
100613-18-1,O=C(O)C1=CC=C(C(=C1C(=O)O)C)CCCC,17.0,20.0,-8.403147817290499,-0.527356642269,7.875791175021499,2.5316158126168955,4.135544313630311,221.55200000000005,0.53431,-0.66486,235.743794,178.63200739287478,1,1,2.734020000000001,2.0,2.0,9.031365010763182,1.9717079234871602,5.292959310559727e-07
