cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
22037-61-2,O=C(O)C1=CC=C(C=C)C=C1C(=O)O,14,21,-8.121509982023,-0.9978414897835,7.123668492239499,1.6223599662220465,0,1,14.736289410348164,1.93157134286519,0.02526075040142256
137023-78-0,O=C(O)C=1C=C(C(=CC1C(=O)O)CC)CC,16,19,-8.448046602623,-0.570894858349,7.877151744274,2.7758233319143346,0,2,12.46045076883199,1.9088631461438486,0.0006135526434773797
201730-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.650771421245501,-0.789674394151,7.861097027094502,3.447903074333732,0,1,12.692982117616808,1.888916216206866,0.0008372672132934186
76284-58-7,O=C(O)C=1C(Cl)=CC=C(C1C(=O)O)C(F)(F)F,17,20,-9.1177187887035,-0.7472246334729999,8.3704941552305,1.7020578368551404,2,0,9.877647390489614,2.3578149786040843,0.00010686286539266475
82784-82-5,O=C(O)C1=CC=C(O)C(O)=C1C(=O)O,14,19,-8.2153892604455,-0.521914365259,7.6934748951865,5.09748380478055,1,1,8.48668504924646,2.0194820865912844,2.394983784183333e-07
2384497-19-0,O=C(O)C1=CC(O)=C(N)C=C1C(=O)O,14,20,-7.5503430098235,-0.4791924907305,7.071150519093,5.193790811151331,0,2,10.221660804194585,1.9570722992608858,8.252581419154346e-06
861555-37-5,O=C(O)C1=CC=C(C(OC)=C1C(=O)O)C,15,21,-8.516075065248,-0.63674641017,7.879328655078,3.555195966469359,1,1,10.136675450382313,1.9827948588585742,8.771058180483571e-06
202262-76-8,O=C(O)C=1C=CC=C(NO)C1C(=O)O,14,20,-7.993344358437501,-0.5874938032295001,7.405850555208,5.093633408481612,1,0,8.717208756411651,2.0075591998983535,3.717654091359189e-07
7717-74-0,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1,29,27,-8.1430069762125,-0.7611024398485,7.381904536364001,2.646561678858061,0,1,13.209596999365317,1.8966996759426258,0.002193659309148003
1301739-50-3,O=C(O)C1=CC(Cl)=C(C=C1C(=O)O)C(F)(F)F,17,20,-9.078262280381,-1.148864676811,7.929397603570001,4.477490518136247,0,2,13.066510961554854,1.912664483228586,0.0018631904797427948
889943-38-8,O=C(O)C1=CC(N)=C(N)C=C1C(=O)O,14,21,-7.136457843213,-0.416878418966,6.719579424247,4.47100074479976,0,2,10.586894522502178,1.9426462290207176,1.65527757180379e-05
84029-87-8,O=C(O)C=1C=C(C(=CC1C(=O)O)C(C)C)C,16,19,-8.433896682397,-0.580146729266,7.853749953131,2.8839448642441137,0,2,12.409955943591626,1.9061617794074373,0.0005485474135118341
169739-72-4,O=C(O)C1=CC=C(C=C1C(=O)O)NN,14,18,-7.3827208779155,-0.3485778424905,7.034143035425,7.207310746041134,0,1,8.09100185992375,2.13804649820483,3.915321288952148e-07
1236108-27-2,O=C(O)C1=CC(N=NC=2C=C(C(=O)O)C(C(=O)O)=C(C2)C(=O)O)=CC(C(=O)O)=C1C(=O)O,41,40,-8.593899626491,-1.988063791753,6.605835834738,4.255446614634003,1,1,13.706394116186473,2.1056946753057226,0.011139624490948102
1257323-85-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(NC(=O)OC(C=2C=CC=CC2N(=O)=O)C)C(=O)O,31,35,-8.8396184334925,-1.4574417832780002,7.3821766502145,4.685796927951532,0,1,13.854522375527836,1.9492740311414078,0.007782730117180656
830320-86-0,N#CC1=CC=C(C(=O)O)C(=C1)C(=O)O,18,16,-9.1974481469,-1.1665520770935,8.0308960698065,5.715043180939231,0,1,12.126885725535672,1.9619360475499326,0.00045957333231157194
106860-70-2,O=NC1=CC=CC(C(=O)O)=C1C(=O)O,18,17,-8.6850577664085,-2.1897001549735,6.495357611435,3.954174306982432,1,0,14.427128283099904,2.1748319898471506,0.03333899401242865
444288-77-1,O=C(O)C=1C=CC=C(NCC=2C=NC=CC2)C1C(=O)O,20,31,-7.355781606716,-0.6666789337250001,6.689102672991,2.917690819809392,1,0,10.742926203504382,1.9891655498734495,3.5473439170931125e-05
128298-23-7,O=C(O)C=1C(C(=O)O)=C(C(C(=O)O)=C(C(=O)O)C1C(F)(F)F)C(F)(F)F,29,28,-9.716641373654,-1.4190737303575,8.297567643296501,4.640252459726733,2,2,9.694065103219984,2.296707393240039,5.071965630461359e-05
1185300-97-3,O=C(O)C=1C=CC=C(NC(=O)OCC2C=3C=CC=CC3C=4C=CC=CC42)C1C(=O)O,30,46,-7.492110645816501,-0.7845042309915,6.707606414825001,2.828921004552796,1,0,11.20901287302459,1.980367612047994,8.728077397815253e-05
769908-43-2,O=C(O)C1=CC=C(C(N)=C1C(=O)O)C,14,19,-7.414013970722999,-0.58776591708,6.826248053642999,4.04398535852938,1,1,9.575667709406687,1.989014760933636,2.512912858280529e-06
