cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
2549765-40-2,O=C(O)C1=CC=C(C#CCC(O)C(=O)O)C=C1C(=O)O,185.9182990724663,251.319632,0.53298,-0.66227,231.6560000000001,3.680012019002112,-8.258111134974001,-0.9635551446205,7.294555990353501,2.914472419043329,0,1,0.2701000000000002,4,4,ok,False,9.34483397118761,1.2787849917355067,1.2787849917355067,6.838461443415666,11.851206498959554,18.18,0.5,1.0,1.4385410542227487e-13,2.4332180360439756e-14,10.623618962923116,1.1476681073593409,2.4824485263151033,0.46231295239096715,True,0.8075637610512122,1.964978708645317e-14
2596691-87-9,O=C(O)C=1C=CC(=CC1C(=O)O)C2=NC3=CC=C(O)C=C3N2,186.225605179783,320.10736,0.53313,-0.66233,243.52000000000007,6.993192058709671,-7.214010290605501,-1.1164831286015,6.097527162004001,2.8452977233086743,0,1,2.331899999999999,4,4,ok,False,9.333621280273716,1.2787849917355067,1.2787849917355067,6.827248752501772,11.83999380804566,18.18,0.5,1.0,1.3477324290612991e-13,2.2770642595520297e-14,10.612406272009222,1.120810043338399,2.4824485263151033,0.4514937697427736,True,0.8155874530409261,1.857145039858562e-14
1898180-80-7,O=C(O)C1=CC=2C=C(C=3SC=CC3)N(O)C2C=C1C(=O)O,186.7981838906613,328.4317283333333,0.53002,-0.67721,239.60000000000005,5.231209130784202,-7.1345530462595,-0.7485852027255,6.385967843534,2.432828906096551,0,2,3.0035000000000007,3,5,ok,False,9.353252352483285,1.2787849917355067,1.2787849917355067,6.8468798247113405,11.859624880255229,18.18,0.5,1.0,1.5106435768943137e-13,2.5573305434217305e-14,10.63203734421879,1.4223411673179496,2.4824485263151033,0.5729589766879252,True,0.7201599139194532,1.841686944014182e-14
723234-44-4,O=C(O)C=1C=CC=2C=3C=CC=4C=CC=C5C=CC(=CC2C1C(=O)O)C3C54,177.64806725019906,472.1314763333333,0.53556,-0.65607,284.7920000000001,3.8208527843925104,-6.7699204865895,-1.308867620905,5.4610528656845005,2.9878312337859905,1,1,5.133600000000003,2,2,ok,False,9.329774076002025,1.2787849917355067,1.2787849917355067,6.8234015482300805,11.836146603773969,18.18,0.5,1.0,1.317891573147242e-13,2.225790363354346e-14,10.60855906773753,1.2292531453850173,2.4824485263151033,0.49517769748470714,True,0.7825472679344138,1.7417861678376896e-14
147055-83-2,O=C(O)C1=CC=C(OC2N(C(=O)NCC=3C=CC=CC3)C(=O)C2(CC)CC)C=C1C(=O)O,183.60532761882317,427.5570186666667,0.53287,-0.66028,390.6720000000001,9.781669250184244,-8.298928212548999,-0.6206916929905,7.678236519558499,2.590426169363143,0,1,3.346300000000002,3,5,ok,False,9.332190706878105,1.2787849917355067,1.2787849917355067,6.825818179106161,11.83856323465005,18.18,0.5,1.0,1.3365594638269995e-13,2.2578639856275585e-14,10.610975698613611,1.2948536966054847,2.4824485263151033,0.5216034422786359,True,0.7618008181284731,1.7200426314738892e-14
101875-34-7,O=C(O)C1=CC(C=2C=CC=CC2)=C3C=CC=CC3=C1C(=O)O,178.10508776924863,335.95957433333336,0.53611,-0.65535,253.38400000000007,3.425702650552146,-7.647487654452,-1.047094096724,6.600393557728,2.8633047092840496,1,2,3.903200000000002,2,2,ok,False,9.320781627433288,1.2787849917355067,1.2787849917355067,6.814409099661344,11.827154155205232,18.18,0.5,1.0,1.250649901906688e-13,2.110328897450625e-14,10.599566619168794,1.126184440274716,2.4824485263151033,0.45365872779904187,True,0.8139907787927108,1.7177882627445968e-14
1026786-41-3,O=C(O)C=1C=C(C=C)C=2C=CC=CC2C1C(=O)O,178.16409079780783,272.7613503333334,0.53573,-0.65617,209.72800000000004,3.042593517050873,-7.567486182405,-1.071040115568,6.4964460668370005,2.87172924369032,1,2,2.879200000000001,2,2,ok,False,9.311129066378395,1.2787849917355067,1.2787849917355067,6.804756538606451,11.81750159415034,18.18,0.5,1.0,1.1822212384544112e-13,1.9929421333204036e-14,10.589914058113902,1.153528732849593,2.4824485263151033,0.464673776967238,True,0.8057983781066442,1.6059095386899767e-14
351892-64-3,O=C(O)C1=CC=C(OCOC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,187.25043926261293,331.534419,0.53286,-0.66077,300.12000000000006,6.286397612305477,-8.3356635823665,-0.5812351846680001,7.7544283976985,2.563408917578635,0,1,1.8947,4,6,ok,False,9.303319582322306,1.2787849917355067,1.2787849917355067,6.796947054550362,11.80969211009425,18.18,0.5,1.0,1.1295618091418734e-13,1.9026883080869762e-14,10.582104574057812,1.0635909882241765,2.4824485263151033,0.4284443270221396,True,0.8322981563515348,1.5836039709324114e-14
1785448-67-0,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)CC,186.641812636176,225.50308733333333,0.53033,-0.67435,197.31200000000004,6.921433503256388,-8.1250474620795,-0.411436141956,7.7136113201235,2.36178455517513,0,2,1.5217,3,3,ok,False,9.314288950224055,1.2787849917355067,1.2787849917355067,6.807916422452111,11.820661477996,18.18,0.5,1.0,1.2042071041717748e-13,2.030645267260088e-14,10.593073941959561,1.28642514337795,2.4824485263151033,0.5182081842750205,True,0.7644950547433188,1.5524182647582623e-14
100578-69-6,O=C(O)C=1C=CC=2C=3C=CC=CC3C=CC2C1C(=O)O,178.50095470668674,312.15262,0.53592,-0.65638,225.59200000000004,3.628482935057019,-7.6080311461295,-0.998113603634,6.6099175424955,2.801310567707897,1,1,3.389400000000002,2,2,ok,False,9.301100429068452,1.2787849917355067,1.2787849917355067,6.794727901296508,11.807472956840396,18.18,0.5,1.0,1.115023179147539e-13,1.8777832598389426e-14,10.579885420803958,1.1116785181797324,2.4824485263151033,0.4478153348983577,True,0.8182899245621661,1.5365711220377067e-14
2539389-74-5,O=C(O)C=1C=CC=C(C#CCSC)C1C(=O)O,178.86614086757808,248.47249666666667,0.536,-0.65217,213.1680000000001,2.9229542538329265,-7.860552799393501,-0.723278614629,7.137274184764501,2.580892923437224,1,0,1.7975,2,3,ok,False,9.272989346467682,1.2787849917355067,1.2787849917355067,6.766616818695738,11.779361874239626,18.18,0.5,1.0,9.460280183463731e-14,1.588730297032662e-14,10.551774338203188,1.0202371938562744,2.4824485263151033,0.41098020081435244,True,0.8445893674151692,1.3418247165641299e-14
109555-44-4,O=C(O)C1=CC=C2C(=O)C3=CC=C(C(=O)O)C(C(=O)O)=C3C(=O)C2=C1,172.4441804908232,330.240656,0.53789,-0.65671,265.2800000000001,1.4112877665451509,-9.188740503684,-2.4030374137655,6.785703089918501,4.9504566257512055,1,1,1.5566,3,5,ok,False,9.48296577022216,1.2787849917355067,1.2787849917355067,6.976593242450216,11.989338297994104,18.18,0.5,1.0,3.1922216407648847e-13,5.475145180254366e-14,10.761750761957666,3.08889655724455,2.4824485263151033,1.2442943023796131,False,0.21261583974498738,1.1641025902255023e-14
1010100-13-6,O=C(O)C1=CC=C(C=C1C(=O)O)NCC=2OC=CC2,186.12494796408816,258.33662166666664,0.53161,-0.66461,221.31200000000004,6.29255899773693,-7.351427785108,-0.386945895411,6.964481889697,2.1495650418711354,0,1,2.2881,3,4,ok,False,9.259137330892775,1.2787849917355067,1.2787849917355067,6.752764803120831,11.76550985866472,18.18,0.5,1.0,8.722780593063703e-14,1.462862155421843e-14,10.537922322628281,1.1998723861285008,2.4824485263151033,0.4833423023314676,True,0.7916627637267044,1.1580934969124601e-14
916849-61-1,O=C(O)C1=CC=C(OC2=CC=C(O)C(N)=C2)C=C1C(=O)O,188.6832591933836,278.49424400000004,0.53281,-0.66093,239.8400000000001,4.229085987539151,-7.149519308036999,-0.5444998148505,6.605019493186499,2.240641769658098,0,1,2.1631,4,5,ok,False,9.259121698532631,1.2787849917355067,1.2787849917355067,6.752749170760687,11.765494226304575,18.18,0.5,1.0,8.721981092702929e-14,1.4627258040230125e-14,10.537906690268137,1.2003750123881645,2.4824485263151033,0.48354477430796,True,0.7915077970261767,1.1577588787955976e-14
294890-23-6,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)CCC(=O)O)C=C1C(=O)O,187.94614943583184,346.0386946666667,0.53311,-0.66066,311.7920000000001,9.909899270426516,-7.7865378320575,-0.533887374681,7.2526504573765,2.3863508943312493,0,1,2.6785999999999994,4,5,ok,False,9.2477687022175,1.2787849917355067,1.2787849917355067,6.741396174445557,11.754141229989445,18.18,0.5,1.0,8.15995760454374e-14,1.3669303053660906e-14,10.526553693953007,1.0787960091088578,2.4824485263151033,0.43456933655345553,True,0.8279102631796668,1.1316956288639022e-14
1061606-12-9,O=C(O)C=1C=CC=C(OCC2=CC=C3OCOC3=C2)C1C(=O)O,180.44943349315,292.901208,0.53594,-0.65913,259.87200000000007,5.032601098835472,-7.559866994591,-0.649263647293,6.910603347298,2.437913974684561,1,0,2.3907,2,5,ok,False,9.235166944221362,1.2787849917355067,1.2787849917355067,6.728794416449418,11.741539471993306,18.18,0.5,1.0,7.577735140712118e-14,1.2678134748592141e-14,10.513951935956868,1.0197162627112426,2.4824485263151033,0.4107703551158376,True,0.8447350216557621,1.0709664431406652e-14
77764-01-3,O=C(O)C=1C=CC=C(OCCC)C1C(=O)O,179.94287850109976,204.7475793333333,0.53586,-0.65969,197.47200000000004,4.845161745494158,-8.08178135985,-0.6462703949375,7.4355109649125,2.56131985393238,1,0,1.8718,2,3,ok,False,9.228073781357688,1.2787849917355067,1.2787849917355067,6.721701253585744,11.734446309129632,18.18,0.5,1.0,7.268181007907845e-14,1.2151687229889147e-14,10.506858773093194,1.0547175379377731,2.4824485263151033,0.4248698519857629,True,0.8348406663129373,1.0144722663827067e-14
28749-88-4,O=C(O)C1=C(F)C(F)=C(O)C(F)=C1C(=O)O,179.45969092884204,152.5542204,0.53675,-0.64017,162.61600000000004,0.6006952638401605,-8.683152969455,-0.7839600032905,7.8991929661645,2.8365628116262074,2,2,1.2059,3,3,ok,False,9.26698150598674,1.2787849917355067,1.2787849917355067,6.760608978214796,11.773354033758684,18.18,0.5,1.0,9.133181245029878e-14,1.5328826832687132e-14,10.545766497722246,1.643200121485539,2.4824485263151033,0.6619271674988856,True,0.6452305558844541,9.890627458311254e-15
2509799-87-3,O=C(O)C=1C=CC=C(C#CCOCC(=O)OC)C1C(=O)O,177.775370394927,261.08167333333336,0.53678,-0.65111,248.75200000000007,4.905052508383576,-8.409950663553,-0.764639919905,7.645310743647999,2.752442483911143,1,0,0.6240999999999999,2,5,ok,False,9.20062762898754,1.2787849917355067,1.2787849917355067,6.694255101215596,11.707000156759484,18.18,0.5,1.0,6.183198264346881e-14,1.0309684879197283e-14,10.479412620723046,0.9964937520382172,2.4824485263151033,0.40141567548125257,True,0.8511775421270981,8.77537223558005e-15
