cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
7717-76-2,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,25,34,-8.2447775562995,-0.8147088683970001,7.4300686879025,1.2404259308801957,0,1,12.298135619867935,1.971317867457712,0.0007837205008005884
5680-10-4,O=C(O)C=1C=C(C(=CC1C(=O)O)C)C,14,17,-8.454305221184502,-0.593752421791,7.860552799393502,2.7613085412535847,0,2,9.65013649411297,2.222699818508977,3.1613795248760395e-05
1072946-35-0,O=C(O)C1=CC=C(C=C1C(=O)O)B(O)O,15,19,-8.9500966567955,-0.8337568379320001,8.1163398188635,4.2603364914053445,0,1,7.792762601678021,2.7654058162368664,5.5820442399783844e-05
14236-13-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(C)(C)C,16,20,-8.629546540906501,-0.5880380309305,8.041508509976001,2.361375381001504,0,1,10.245935717133051,2.1290304871857395,4.8428644954494966e-05
2408642-17-9,O=C(O)C1=CC=C(Br)C(F)=C1C(=O)O,14,17,-8.8164887562,-0.973623357089,7.842865399111,2.414856281437883,1,1,9.768295775350566,2.181840928756973,2.8748644868802227e-05
344309-11-1,O=C(O)C1=CC(Br)=CC(F)=C1C(=O)O,14,17,-8.7732226539705,-0.9793377479495,7.793884906021,1.7479114680097505,1,1,10.77561173450762,2.0641600376508817,8.341182722166295e-05
62268-16-0,O=C(O)C=1C(Cl)=CC(Cl)=C(Cl)C1C(=O)O,15,17,-8.7666919215585,-0.8645057030385,7.902186218520001,1.2750610534401872,2,1,10.201845082751959,2.0998468711593867,3.512173427083754e-05
41819-13-0,O=C(O)C=1C(Br)=C(C(=O)O)C(C(=O)O)=C(Br)C1C(=O)O,21,22,-8.822747374761502,-1.1534906122695,7.669256762492002,4.505593195129804,2,2,5.8975738635345465,3.0227018526279625,1.6037111788709145e-05
3016-76-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(C2=CC=C(C(=O)O)C(=C2)C(=O)O)(C(F)(F)F)C(F)(F)F,33,37,-8.9533620230015,-0.9673647385275,7.985997284473999,5.21972360666731,0,1,6.600249451757591,3.262587122143863,0.0001547589824841115
89-08-7,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)O,16,20,-9.4366362214895,-1.1360753258375,8.300560895652001,7.500861459859127,0,1,3.756273201839889,4.809644140829354,0.0018315649332957748
37951-15-8,O=C(O)C1=CC=C(OC=2C=CC=CC2)C=C1C(=O)O,19,28,-8.300560895652,-0.539329651691,7.761231243960999,3.109274682301324,0,1,9.0291324684666,2.3167298137228,2.0257980020436472e-05
56962-06-2,O=C(O)C1=CC=C(Cl)C(Cl)=C1C(=O)O,14,17,-8.86002697228,-0.9635551446205,7.8964718276595,2.362879264795389,1,1,9.82980289964648,2.1700233854547615,2.950791052685716e-05
87639-56-3,O=C(O)C1=CC=C(C#C)C=C1C(=O)O,14,19,-8.5141702682945,-1.026413444086,7.4877568242085,0.6155573978111221,0,1,13.5391208052814,1.941390184618487,0.005351185996357477
56896-91-4,O=C(O)C1=CC=C(C=C1C(=O)O)N2C(=O)C=CC2=O,19,23,-8.80016192517,-1.664792537359,7.135369387811,3.206759319001038,0,1,10.710568169819226,2.462311219729074,0.0008235374182812318
1185302-72-0,O=C(O)C=1C=CC=C(NC(=O)OC(C)(C)C)C1C(=O)O,20,34,-8.129945511388499,-0.759197642895,7.370747868493499,3.063988678177516,1,0,8.431483657245664,2.329752421007744,7.097032980243878e-06
