cas,smiles,yield,conversion,selectivity,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba
4-no,O=C(C1=CC(OC2=CC3=CC=CC=C3C=C2)=CC=C1C(O)=O)O,12.97,29.0,44.83,187.06781406866997,336.26945166666667,0.53354,-0.66018,262.60800000000006,3.0442356413392178,-7.563132360797001,-0.557833393525,7.005298967272001,2.3535785228789794,0,1,4.028500000000003,2,3
4-po,O=C(C1=CC(OC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)=CC=C1C(O)=O)O,13.9,29.0,47.93,190.003020605276,472.842236,0.53345,-0.66064,322.16800000000006,3.5669103787451686,-6.9584953849860005,-0.844641391952,6.113853993034001,2.489793820271877,0,1,5.772700000000004,2,3
4-ne,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=CC=CC=C3C=C2)O,12.8,30.0,42.67,189.54034902256268,375.4528613333334,0.53297,-0.66181,304.78400000000005,5.76472093513641,-7.196050776472501,-0.5466767256545,6.649374050818001,2.253965136944689,0,1,3.6940000000000026,2,4
3-ne,O=C(C1=CC=CC(OCCOC2=CC3=CC=CC=C3C=C2)=C1C(O)=O)O,5.7,21.0,27.14,177.30065001185716,371.76347499999997,0.53626,-0.65851,304.5680000000001,6.884762086666466,-7.1867989055555,-0.6821894232035,6.504609482352,2.37988835018253,1,0,3.694000000000001,2,4
4-pe,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)O,13.55,32.0,42.5,190.17843745186968,511.40107400000005,0.53298,-0.66163,364.5520000000001,4.3629701603380235,-6.906249525690001,-0.7619187814,6.14433074429,2.3924820958126243,0,1,5.438200000000004,2,4
4-nb,O=C(C(C=C1)=C(C(O)=O)C=C1OCCCCOC2=CC3=CC=CC=C3C=C2)O,13.46,31.0,43.55,186.91376691660997,408.99610666666666,0.53217,-0.66277,338.16800000000006,2.2490042374348698,-7.150063535738,-0.5526632303655,6.5974003053725,2.2483098223148255,0,1,4.474200000000003,2,4
56962-08-4,ClC1=C(Cl)C=C(C(O)=O)C(C(O)=O)=C1,18.18,35.46,51.27,188.94070868130243,179.84947733333334,0.53354,-0.65413,169.34400000000005,0.7044000638841539,-8.8281896517715,-0.9959366928300001,7.832252958941501,3.0806416410654553,0,2,2.3897999999999993,2,2
2479-49-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1)C2=CC=C(C(O)=O)C(C(O)=O)=C2,14.76,27.9,52.9,186.0090547180468,324.65706233333333,0.53392,-0.65664,285.71200000000005,4.35557362123521,-9.0888747205505,-1.5268308151555001,7.562043905395,3.7256198664894074,0,1,1.7104000000000001,4,5
10351-75-4,O=C(C1=CC2=C(C=C1C(O)=O)N=CN2)O,7.2,21.36,34.18,184.67851095460546,188.5680133333333,0.53078,-0.67259,164.05600000000004,6.235946358813552,-8.307091628064,-0.438103299305,7.868988328759,2.429741636487525,0,2,0.9593,3,3
18959-31-4,FC1=C(F)C=C(C(O)=O)C(C(O)=O)=C1,14.92,35.71,41.78,189.17073121806646,144.67877933333332,0.53301,-0.65629,149.32800000000003,0.4801,-8.9724099925365,-0.813620412995,8.1587895795415,2.934454619902356,0,2,1.3612000000000002,2,2
27563-65-1,ClC1=C(C(O)=O)C(C(O)=O)=CC=C1,10.0,22.0,45.45,178.44513873182112,162.44971433333333,0.53766,-0.64781,154.00000000000003,2.108171288107302,-8.7900937127015,-0.811443502191,7.9786502105105,2.8886313617158517,1,0,1.7364000000000002,2,2
652-03-9,FC1=C(F)C(F)=C(C(O)=O)C(C(O)=O)=C1F,10.92,27.62,39.54,180.32408900400142,142.8709744,0.53628,-0.63676,159.03200000000004,2.2568242067117232,-9.1460186291555,-1.014984662365,8.1310339667905,3.1744421531129063,2,2,1.6394000000000004,2,2
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,11.82,26.51,44.59,186.09190747153525,174.987838,0.53528,-0.65516,166.96800000000005,1.9379577007767739,-9.2075163593685,-1.152130043017,8.0553863163515,3.330761225088828,0,1,0.7811999999999999,3,3
10595-33-2,O=C(O)C1=CC=C(C=C1C(=O)O)CC2=CC=C(C(=O)O)C(=C2)C(=O)O,9.43,26.23,35.95,188.55819665134777,317.43319633333334,0.53196,-0.66606,282.97600000000006,5.927544254579631,-8.544919133401,-0.7964772404135,7.7484418929875005,2.815459140620527,0,1,2.0702,4,4
651-97-8,O=C(O)C=1C(F)=CC=C(F)C1C(=O)O,11.85,25.09,47.31,179.0190944252998,143.91094203333333,0.53586,-0.64279,149.46400000000003,0.918522019333233,-8.8450607105025,-0.8704922077495,7.974568502753,2.959155986771219,2,0,1.3612000000000002,2,2
3786-46-7,O=C(O)C=1C(O)=CC=C(O)C1C(=O)O,0.86,6.64,3.16,174.1235627185381,168.58690256666668,0.53398,-0.69209,153.15200000000004,2.548500580733699,-7.778102302692,-1.119476380957,6.658625921735,2.972343970146659,2,0,0.49419999999999986,4,4
10595-31-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,13.04,27.16,48.09,189.03356835507122,334.0900596666666,0.5374,-0.65043,300.20000000000005,8.779619449611697,-9.209421156322001,-1.237573792074,7.971847364248001,3.4226603466242773,0,1,1.3122000000000003,4,6
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,14.22,34.1,41.7,186.50922823371084,174.07921866666666,0.53364,-0.65843,158.96800000000005,1.3731690864565804,-8.694581751176,-0.849539441261,7.845042309915001,2.902796624206862,0,1,1.8455,2,2
632-58-6,O=C(O)C=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1C(=O)O,13.81,19.94,69.26,167.8580076710036,209.50301133333335,0.53853,-0.6275,199.18400000000005,2.563406620105363,-8.8733605509545,-0.945323516637,7.9280370343175,3.0400512889214353,2,2,3.6966,2,2
