cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5
10210-28-3,O=C(O)C=1C=C2C=C3C=CC=CC3=CC2=CC1C(=O)O,20,29,-7.083667756216,-1.2405670444295,5.8431007117865,3.391101422841847,0,2
92971-15-8,O=C(O)C1=CC=C(C(=C1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.75800267893,-2.3023552890805004,7.455647389849499,9.060131102804197,1,1
18959-91-6,O=C(O)C1=CC=C(OC2=CC=CC(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)=C2)C=C1C(=O)O,32,45,-8.313622360476,-0.5684458336945,7.7451765267815,5.812796361476979,0,1
1824411-98-4,O=C(O)C=1C=C2C(=CC1C(=O)O)CN(C(=O)OC(C)(C)C)C2,22,25,-8.2703562582465,-0.613888846728,7.656467411518499,3.379533797730095,0,2
623904-16-5,O=C(O)C=1C=CC(=CC1)C2=CC(C(=O)O)=C(C=C2C3=CC=C(C=C3)C(=O)O)C(=O)O,36,43,-8.141646406960001,-1.1749876064590001,6.966658800501001,4.962400073553119,0,2
21278-45-5,O=C(O)C1=CC=C(N=NC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,26,35,-8.421379445273999,-1.8857489839650001,6.535630461308999,4.108750148159413,0,1
51307-74-5,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)S(=O)(=O)O,19,23,-9.5971833932845,-1.6226148905315,7.974568502753,8.65726173221071,0,2
3885-88-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C=2C=CC=CC2,20,24,-8.741113219611501,-1.3412491691145,7.399864050497001,4.528789490581341,0,1
1868072-45-0,O=C(O)C=1C=C(C=C(C1)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C(=O)O,32,30,-8.3509019579945,-0.9923992127735001,7.358502745221,3.2486314426231857,0,1
63958-66-7,O=C(O)C1=CC(O)=C(O)C=C1C(=O)O,14,19,,,,,0,2
50276-60-3,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1C(=O)O,18,29,-8.1130744526575,-0.6576991766585,7.455375275999,2.5178727807417114,1,2
1245212-48-9,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=CN=CC2,21,25,-8.234165116129999,-1.047638324425,7.186526791704999,4.872239099223272,0,1
476-73-3,O=C(O)C1=CC=C(C(=O)O)C(C(=O)O)=C1C(=O)O,22,21,-9.3212599488775,-1.32247331343,7.998786635447501,3.888676168055139,1,1
1092449-37-0,O=C(O)C1=CC=C(F)C(F)=C1C(=O)O,14,17,-9.0028867437925,-0.7872253694965,8.215661374296,2.574850560712213,1,1
937647-86-4,O=C(O)C1=CC(Cl)=C(Br)C=C1C(=O)O,14,17,-8.777304361728001,-0.97416758479,7.803136776938001,2.610182143069713,0,2
13810-83-8,O=C(O)C=1C(Br)=C(Br)C(Br)=C(Br)C1C(=O)O,16,17,-8.708731671401999,-0.9123977407264999,7.796333930675499,2.0866057629557146,2,2
499793-28-1,O=C(O)C1=CC(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)=CC(=C1)C(=O)O,31,29,-8.399066109532999,-1.004644336046,7.394421773486999,3.379372807193666,0,1
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.789023657887,-2.428344001862,7.360679656025001,9.481184314208853,0,2
518-90-1,O=C(O)C1=CC=C(OC)C(OC)=C1C(=O)O,16,25,-8.0825977014015,-0.4933424109565,7.589255290445,6.360190720410828,1,1
82520-79-4,O=C(O)C1=CC=C(S)C=C1C(=O)O,13,18,-7.956064760918999,-0.7480409750245001,7.2080237858944995,1.685542319255141,0,1
144876-16-4,O=CC1=CC=C(C(=O)O)C(=C1)C(=O)O,19,17,-9.185203023627501,-1.3684605541645,7.816742469463001,5.014299239175899,0,1
13124-84-0,O=C(O)C=1C=C(C(=O)O)C(=CC1Br)C(=O)O,18,20,-8.873088437104,-1.163558824738,7.709529612366,3.048617819602844,0,2
22179-20-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)N,16,20,-9.312280191811,-1.0555296260895,8.2567505657215,9.03406064402935,0,1
82679-28-5,O=C(O)C1=CC(I)=C(I)C=C1C(=O)O,14,17,,,,,0,2
2300-16-5,O=C(O)C1=C(C(=O)O)C(=CC=C1N(=O)=O)N(=O)=O,19,18,-9.7375941401425,-2.4645351439785,7.273058996164,0.32130448176145937,2,0
2639451-53-7,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)OC(C)(C)C,20,24,-8.054025747099,-0.654161696602,7.399864050497,5.717844378784719,0,1
444717-58-2,O=C(O)C1=CC=C(OC=2C=C(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C(OC4=CC=C(C(=O)O)C(=C4)C(=O)O)C2)C=C1C(=O)O,45,62,,,,,0,1
1417569-13-1,O=C(O)C=1C(Br)=CC=C(Br)C1C(=O)O,14,17,-8.51716352065,-0.7066796697485,7.8104838509015,0.7295052432984975,2,0
53812-59-2,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1C(=O)O)C(F)(F)F,24,25,-9.580584448404,-1.420978527311,8.159605921093,6.444553540005701,1,2
479-47-0,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1)C(=O)O,23,21,-9.4143228857485,-1.2125393178280002,8.2017835679205,4.11732917071249,1,1
1170416-53-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OCC,17,21,-9.1628896878865,-1.1428781721,8.0200115157865,3.845013602056565,0,1
63181-80-6,O=C(O)C=1C=CC=C(OC2=CC=C(C=C2)C)C1C(=O)O,20,31,-7.999058749298,-0.687903814064,7.311154935234001,6.33007335344544,1,0
1323408-36-1,O=C(O)C=1C=CC=C(OCC2=CC=C(C=C2)CO)C1C(=O)O,22,35,-8.142734862362,-0.6827336509045,7.4600012114575,6.726452118316163,1,0
209324-65-2,O=C(O)C1=CC=C(C(NC(=O)C)=C1C(=O)O)N(=O)=O,19,26,-8.7563515952395,-1.8087407642735,6.947610830966001,9.056427894595087,1,1
4445-58-3,O=C(O)C=1C=CC(=CC1C(=O)O)C=2C=CC=CC2,18,22,-8.0085827340655,-0.872397004703,7.1361857293625,1.9282532665601788,0,1
2612386-56-6,O=C(O)C1=CC(F)=C(Br)C=C1C(=O)O,14,17,-8.8031551775255,-0.8615124506830001,7.941642726842501,2.750452653655394,0,2
99807-59-7,O=C(O)C=1C=C(C(=O)O)C(=CC1Cl)C(=O)O,18,20,-8.9974444667825,-1.197845169901,7.7995992968815,2.8873728283683766,0,2
176796-64-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.636349387169,-0.764639919905,7.871709467264,2.7760466674751707,0,1
2080747-16-4,O=C(O)C1=CC=C(Cl)C(=C1C(=O)O)N(=O)=O,16,19,-9.2238431903985,-1.853095321905,7.370747868493499,5.6889968825795645,1,1
4277-02-5,O=C(O)C=1C=C(C=C(C1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.8812702532065,-2.2623545530570004,7.6189157001495,5.407243636086689,1,1
4961-03-9,O=C(O)C=1C=C(C(=O)O)C(=CC1O)C(=O)O,18,21,-8.485054086290999,-0.9660041692749999,7.519049917015999,3.6006950579020156,0,2
57296-46-5,O=C(O)C1=CC(OC)=C(Cl)C(Cl)=C1C(=O)O,16,21,-8.3302213053565,-0.9303572548594999,7.399864050497001,4.121956647030631,1,2
2248293-20-9,O=C(O)C1=CC=C(C=C1C(=O)O)CC(NC(=O)OC(C)(C)C)C,23,27,-8.532946123979,-0.648175191891,7.884770932088,2.2574491467140514,0,1
2088-87-1,O=C(O)C=1C=CC=2C=CC=CC2C1C(=O)O,16,23,-7.821640518771999,-0.9934876681755,6.828152850596499,3.071451497256631,1,1
103203-38-9,O=C(O)C1=CC(OC)=CC(=C1C(=O)O)C,15,21,-8.042052737677,-0.465314684355,7.576738053322,4.0121880838265795,1,1
219537-88-9,O=C(O)C1=CC=C(C#CC=2C=CC=CC2)C=C1C(=O)O,20,29,-7.6912979843825005,-1.1758039480105,6.515494036372001,2.057549379723364,0,1
76284-57-6,O=C(O)C1=CC=C(F)C(=C1C(=O)O)C(F)(F)F,17,20,-9.2390815660265,-0.8046406559285,8.434440910098001,3.596901052294878,1,1
325780-76-5,O=C(O)C1=C(OCC)C=2C=CC=CC2C(OCC)=C1C(=O)O,22,37,-7.6689846486415005,-0.689536497167,6.9794481514745,5.250387681876453,2,2
402598-26-9,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)COC=3C=CC=CC3)C=C1C(=O)O,30,46,,,,,0,1
22037-61-2,O=C(O)C1=CC=C(C=C)C=C1C(=O)O,14,21,-8.121509982023,-0.9978414897835001,7.123668492239499,1.6223599662220465,0,1
137023-78-0,O=C(O)C=1C=C(C(=CC1C(=O)O)CC)CC,16,19,-8.448046602623,-0.570894858349,7.877151744274,2.7758233319143346,0,2
201730-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.650771421245501,-0.789674394151,7.861097027094502,3.4479030743337318,0,1
76284-58-7,O=C(O)C=1C(Cl)=CC=C(C1C(=O)O)C(F)(F)F,17,20,-9.117718788703499,-0.7472246334729999,8.3704941552305,1.7020578368551404,2,0
185049-54-1,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)N(CC=2C=CC=C(OC3=CC=C(C=C3)C)C2)CC=4C=CC=CC4OCC,43,47,,,,,0,2
82784-82-5,O=C(O)C1=CC=C(O)C(O)=C1C(=O)O,14,19,-8.2153892604455,-0.521914365259,7.6934748951865,5.09748380478055,1,1
2384497-19-0,O=C(O)C1=CC(O)=C(N)C=C1C(=O)O,14,20,-7.5503430098235,-0.4791924907305,7.071150519093,5.193790811151331,0,2
861555-37-5,O=C(O)C1=CC=C(C(OC)=C1C(=O)O)C,15,21,-8.516075065248,-0.63674641017,7.879328655078,3.555195966469359,1,1
202262-76-8,O=C(O)C=1C=CC=C(NO)C1C(=O)O,14,20,-7.993344358437501,-0.5874938032295001,7.4058505552080005,5.093633408481612,1,0
7717-74-0,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1,29,27,-8.1430069762125,-0.7611024398485,7.381904536364001,2.6465616788580615,0,1
1301739-50-3,O=C(O)C1=CC(Cl)=C(C=C1C(=O)O)C(F)(F)F,17,20,-9.078262280381,-1.148864676811,7.929397603570001,4.477490518136247,0,2
889943-38-8,O=C(O)C1=CC(N)=C(N)C=C1C(=O)O,14,21,-7.136457843213,-0.41687841896600003,6.719579424247,4.47100074479976,0,2
84029-87-8,O=C(O)C=1C=C(C(=CC1C(=O)O)C(C)C)C,16,19,-8.433896682397,-0.580146729266,7.853749953131,2.8839448642441137,0,2
169739-72-4,O=C(O)C1=CC=C(C=C1C(=O)O)NN,14,18,-7.3827208779155,-0.3485778424905,7.034143035425,7.207310746041134,0,1
1236108-27-2,O=C(O)C1=CC(N=NC=2C=C(C(=O)O)C(C(=O)O)=C(C2)C(=O)O)=CC(C(=O)O)=C1C(=O)O,41,40,-8.593899626491,-1.988063791753,6.605835834738,4.255446614634003,1,1
