descriptor,mae,r2
lumo_ev|homo_ev|gap_ev,1.5454393216720912,0.09048280579780887
dipole_moment_debye|nbo_charge|3and6|4and5,1.3345289582452349,0.4450679120262362
dipole_moment_debye|nbo_charge|3and6|delta_g_hartree,1.3345343973099755,0.4450642733130995
dipole_moment_debye|nbo_charge|3and6|molecular_volume_A3,1.4007732300221476,0.3448975741305992
dipole_moment_debye|nbo_charge|3and6|lumo_ev,1.3471716459451575,0.4743113013035246
dipole_moment_debye|nbo_charge|3and6|homo_ev,1.33452093923268,0.4450714022503618
dipole_moment_debye|nbo_charge|3and6|gap_ev,1.3348234037551803,0.44418196257514164
dipole_moment_debye|nbo_charge|4and5|delta_g_hartree,1.7113065843907933,-0.323410961109424
dipole_moment_debye|nbo_charge|4and5|molecular_volume_A3,1.6543188120126608,-0.1662610939204885
dipole_moment_debye|nbo_charge|4and5|lumo_ev,1.6036369718091985,0.015271317525746175
dipole_moment_debye|nbo_charge|4and5|homo_ev,1.636086810839129,-0.0666361127124857
dipole_moment_debye|nbo_charge|4and5|gap_ev,1.7072174698781328,-0.31167384831428335
dipole_moment_debye|nbo_charge|delta_g_hartree|molecular_volume_A3,1.5772827016182716,0.02182436408732269
dipole_moment_debye|nbo_charge|delta_g_hartree|lumo_ev,1.4674638567845113,0.26018386078415956
dipole_moment_debye|nbo_charge|delta_g_hartree|homo_ev,1.584196811232325,0.008681874478178142
dipole_moment_debye|nbo_charge|delta_g_hartree|gap_ev,1.5853751813599384,0.006598055848003992
dipole_moment_debye|nbo_charge|molecular_volume_A3|lumo_ev,1.5348126268744025,0.13477382964637186
dipole_moment_debye|nbo_charge|molecular_volume_A3|homo_ev,1.6251471122930121,-0.07233694089494169
dipole_moment_debye|nbo_charge|molecular_volume_A3|gap_ev,1.5663919781130569,0.09853098998317922
dipole_moment_debye|nbo_charge|lumo_ev|homo_ev,1.4054004510577585,0.337822108180061
dipole_moment_debye|nbo_charge|lumo_ev|gap_ev,1.405383361129733,0.33784669436100745
dipole_moment_debye|nbo_charge|homo_ev|gap_ev,1.6257224535252859,-0.06052076196454981
dipole_moment_debye|3and6|4and5|delta_g_hartree,1.6896919035833025,-0.30588263135765814
dipole_moment_debye|3and6|4and5|molecular_volume_A3,1.7144296591722659,-0.33917118369026533
dipole_moment_debye|3and6|4and5|lumo_ev,1.41523706177126,0.3662152496197194
dipole_moment_debye|3and6|4and5|homo_ev,1.7320500346769492,-0.4304377506392709
dipole_moment_debye|3and6|4and5|gap_ev,1.6334238601849576,-0.22172444414195724
dipole_moment_debye|3and6|delta_g_hartree|molecular_volume_A3,1.5497840611829838,0.10192795755789852
